,Residual,Depth,Entropy,Var. Contr. by 1,Var. Contr. by 2,Var. Contr. by 3,Var. Contr. by 4,Var. Contr. by 5,Var. Contr. by 6,Var. Contr. by 7,Var. Contr. by 8,Var. Contr. by 9,Var. Contr. by 10
85,None,18,1.9906792789697647,0.28275657,0.24387161,0.11265108,0.090181895,0.06520791,0.059516087,0.04670571,0.035814915,0.03528672,0.028007478
86,Fixed,18,0.22598185623064637,0.96207803,0.014588052,0.010089322,0.0045336233,0.0024596523,0.0018647611,0.001468103,0.0011868036,0.00090085855,0.0008307916
87,Free,18,0.7885702811181545,0.7392799,0.2008589,0.036074907,0.012679248,0.0044801235,0.0020283198,0.0017252745,0.0013473313,0.000909023,0.00061695284
88,Hierarchical,18,1.1717742662876844,0.651367,0.18537377,0.062931426,0.035986777,0.017644936,0.014228307,0.010291523,0.009708527,0.008331201,0.004136488
89,Cluster,18,1.8028761632740498,0.31327364,0.18793166,0.1792065,0.1421067,0.09244846,0.047154676,0.012931971,0.009273412,0.0084727155,0.0072002937
90,None,19,0.12711368291638792,0.9793781,0.013040942,0.0032994263,0.0012210312,0.00076459,0.00061265717,0.0005453219,0.00044493115,0.00037943228,0.00031356618
91,Fixed,19,1.055775688495487,0.69246614,0.16312578,0.0637861,0.028805323,0.019754937,0.016486224,0.006492713,0.0064769825,0.001625219,0.0009806203
92,Free,19,0.6415522827301174,0.788379,0.17908897,0.023312895,0.002889006,0.0025557245,0.0016579315,0.0009952274,0.0005052202,0.0003135663,0.00030241188
93,Hierarchical,19,1.0953550171107054,0.67794,0.17635512,0.060889944,0.027949065,0.017426224,0.015556089,0.009957678,0.0066121193,0.004014269,0.0032994617
94,Cluster,19,1.8450098261237144,0.26117414,0.21327353,0.18412206,0.14538231,0.110710256,0.041801617,0.0127916485,0.010933091,0.010343318,0.009468068
95,None,20,0.14236051822081208,0.977515,0.010923482,0.0054031583,0.0018526032,0.0011077224,0.00092280813,0.0007714693,0.0005863061,0.0005070927,0.00041034527
96,Fixed,20,0.2141272285953164,0.9648074,0.012739676,0.009249147,0.004420362,0.002422344,0.0019993193,0.0013732224,0.0011739866,0.00094712863,0.0008674599
97,Free,20,0.6389880522619933,0.8061861,0.15444928,0.025283491,0.0047331657,0.0033060075,0.0024272508,0.0015762313,0.0008681402,0.0006689488,0.0005013801
98,Hierarchical,20,1.2557732928544283,0.61239815,0.2020306,0.06835648,0.043074936,0.024458906,0.018256359,0.012223859,0.00873595,0.0069503207,0.0035144396
99,Cluster,20,1.7866027243435383,0.29298678,0.24349047,0.18910974,0.12048579,0.0693953,0.040317763,0.013560019,0.012570181,0.009238556,0.008845457
